x [mm]        y [mm]
100.0000      0.0600
99.0000       0.2970
98.0000       0.5330
97.0000       0.7690
96.0000       1.0020
94.0000       1.4620
92.0000       1.9120
90.0000       2.3500
88.0000       2.7790
86.0000       3.1970
84.0000       3.6050
82.0000       4.0020
80.0000       4.3880
78.0000       4.7630
76.0000       5.1260
74.0000       5.4770
72.0000       5.8160
70.0000       6.1430
68.0000       6.4580
66.0000       6.7600
64.0000       7.0480
62.0000       7.3210
60.0000       7.5760
58.0000       7.8150
56.0000       8.0350
54.0000       8.2370
52.0000       8.4210
50.0000       8.5880
48.0000       8.7360
46.0000       8.8640
44.0000       8.9720
42.0000       9.0570
40.0000       9.1170
38.0000       9.1520
36.0000       9.1630
34.0000       9.1510
32.0000       9.1190
30.0000       9.0680
28.0000       9.0000
26.0000       8.9080
24.0000       8.7830
22.0000       8.6140
20.0000       8.3920
18.0000       8.1070
16.0000       7.7570
14.0000       7.3440
12.0000       6.8620
10.0000       6.3000
8.0000        5.6430
6.0000        4.8760
5.0000        4.4280
4.0000        3.9130
3.0000        3.3020
2.0000        2.5370
1.2000        1.7860
0.8000        1.3740
0.4000        0.8920
0.2000        0.5800
0.1000        0.3730
0.0500        0.2340
0.0000        0.0000
0.0500       -0.4670
0.1000       -0.5940
0.2000       -0.7810
0.4000       -1.0510
0.8000       -1.4290
1.2000       -1.6970
2.0000       -2.0270
3.0000       -2.2610
4.0000       -2.4520
5.0000       -2.6050
6.0000       -2.7130
8.0000       -2.8460
10.0000      -2.9380
12.0000      -2.9960
14.0000      -3.0240
16.0000      -3.0250
18.0000      -3.0050
20.0000      -2.9670
22.0000      -2.9140
24.0000      -2.8520
26.0000      -2.7820
28.0000      -2.7070
30.0000      -2.6310
32.0000      -2.5560
34.0000      -2.4820
36.0000      -2.4090
38.0000      -2.3360
40.0000      -2.2630
42.0000      -2.1900
44.0000      -2.1170
46.0000      -2.0440
48.0000      -1.9700
50.0000      -1.8960
52.0000      -1.8230
54.0000      -1.7490
56.0000      -1.6760
58.0000      -1.6020
60.0000      -1.5290
62.0000      -1.4560
64.0000      -1.3820
66.0000      -1.3090
68.0000      -1.2350
70.0000      -1.1620
72.0000      -1.0880
74.0000      -1.0150
76.0000      -0.9410
78.0000      -0.8680
80.0000      -0.7940
82.0000      -0.7210
84.0000      -0.6480
86.0000      -0.5740
88.0000      -0.5010
90.0000      -0.4270
92.0000      -0.3540
94.0000      -0.2800
96.0000      -0.2070
97.0000      -0.1700
98.0000      -0.1330
99.0000      -0.0970
100.0000     -0.0600
