x (mm),y (mm)
10.020300,0.050502
9.991642,0.053408
9.897752,0.062927
9.746445,0.079762
9.541730,0.102307
9.285712,0.128460
8.981095,0.158221
8.631386,0.191688
8.241697,0.228463
7.816736,0.268143
7.362115,0.309627
6.883345,0.352414
6.386538,0.395000
5.877708,0.436083
5.362364,0.474361
4.846218,0.508330
4.334882,0.537088
3.833867,0.559133
3.348183,0.573462
2.882640,0.579073
2.441446,0.575265
2.028610,0.561337
1.647939,0.536988
1.302238,0.502418
0.994415,0.457527
0.726071,0.403016
0.498911,0.339889
0.313736,0.269446
0.170546,0.194294
0.069841,0.117739
0.012726,0.043889
0.002505,-0.018638
0.045793,-0.074451
0.141086,-0.129362
0.284376,-0.177359
0.477167,-0.216438
0.719458,-0.247201
1.009044,-0.270548
1.343021,-0.286881
1.717980,-0.296400
2.130516,-0.299407
2.576420,-0.296601
3.050981,-0.288685
3.548789,-0.276560
4.064334,-0.260929
4.591702,-0.242391
5.124983,-0.221248
5.658163,-0.198202
6.185531,-0.173652
6.701376,-0.148000
7.200688,-0.122749
7.677554,-0.099401
8.125762,-0.079461
8.538698,-0.063529
8.910953,-0.051905
9.236713,-0.044891
9.511369,-0.042085
9.729912,-0.042987
9.888633,-0.045993
9.984828,-0.049200
10.016993,-0.050502
