tap number    top tap locations (x/c)

     1                0.00
     2                0.03
     3                0.06
     4                0.10
     5                0.15 
     6                0.20
     7                0.30
     8                0.40
     9                0.55
     10               0.70
     11               0.85
     12               1.00

tap number    bottom tap locations (x/c)

     13               0.90
     14               0.60
     15               0.40
     16               0.30
     17               0.20
     18               0.10
     19               0.05
