alpha,CL,CD,CDp,CM,Top_Xtr_Relative,Bot_Xtr_Relative
0.0,0.2025,0.02709,0.01869,-0.0706,0.9019,1.0
0.2,0.2241,0.0274,0.01885,-0.0708,0.8898,1.0
0.4,0.2653,0.02762,0.01892,-0.0742,0.8817,1.0
0.6,0.283,0.02798,0.01918,-0.0737,0.8698,1.0
0.8,0.3238,0.02809,0.01917,-0.0768,0.8619,1.0
1.0,0.341,0.02845,0.01946,-0.0762,0.8496,1.0
1.2,0.3823,0.02842,0.01934,-0.0792,0.8419,1.0
1.6,0.4416,0.02857,0.01938,-0.0813,0.8219,1.0
2.0,0.501,0.02855,0.01928,-0.0831,0.802,1.0
2.4,0.5597,0.02822,0.01891,-0.0841,0.7818,1.0
2.8,0.6171,0.02771,0.01838,-0.0845,0.7612,1.0
3.2,0.6735,0.02713,0.01781,-0.0846,0.7403,1.0
3.4,0.6886,0.02737,0.01805,-0.0831,0.7246,1.0
3.6,0.7111,0.02729,0.01798,-0.0824,0.7115,1.0
3.8,0.746,0.02654,0.01724,-0.0829,0.7023,1.0
4.0,0.7638,0.02671,0.01742,-0.0817,0.6871,1.0
4.2,0.793,0.02635,0.01705,-0.0818,0.6765,1.0
4.4,0.8167,0.02626,0.01695,-0.0812,0.6635,1.0
4.6,0.8351,0.02651,0.01721,-0.0802,0.649,1.0
4.8,0.8696,0.02588,0.01651,-0.0807,0.6399,1.0
5.0,0.8836,0.02638,0.01711,-0.0793,0.6245,1.0
5.2,0.9024,0.02673,0.01747,-0.0785,0.6118,1.0
5.4,0.9309,0.02652,0.01721,-0.0785,0.6018,1.0
5.6,0.9444,0.02718,0.01794,-0.0772,0.5883,1.0
5.8,0.9726,0.02702,0.01771,-0.0773,0.5786,1.0
6.0,0.9869,0.02764,0.0184,-0.076,0.5659,1.0
6.2,1.008,0.02792,0.01869,-0.0755,0.5553,1.0
6.4,1.0288,0.02816,0.01894,-0.0748,0.544,1.0
6.6,1.0454,0.02871,0.01954,-0.0738,0.5328,1.0
6.8,1.072,0.02854,0.01937,-0.0737,0.5216,1.0
7.0,1.0845,0.02913,0.02007,-0.0721,0.5082,1.0
7.2,1.1063,0.02914,0.02004,-0.0713,0.4954,1.0
7.4,1.1286,0.0291,0.01994,-0.0706,0.4821,1.0
7.6,1.1414,0.02966,0.02062,-0.0691,0.4688,1.0
7.8,1.1637,0.02983,0.02073,-0.0686,0.4571,1.0
8.0,1.1793,0.03033,0.02133,-0.0674,0.4449,1.0
8.2,1.1952,0.03089,0.02203,-0.0663,0.4327,1.0
8.4,1.2203,0.03096,0.02197,-0.0661,0.4198,1.0
8.6,1.23,0.03165,0.02283,-0.0641,0.4056,1.0
8.8,1.2448,0.03219,0.02341,-0.0627,0.391,1.0
9.0,1.2631,0.03258,0.02375,-0.0617,0.3757,1.0
9.2,1.2836,0.03301,0.02404,-0.061,0.3596,1.0
9.4,1.2933,0.03382,0.02496,-0.0591,0.3433,1.0
9.6,1.3033,0.03476,0.02598,-0.0572,0.3269,1.0
9.8,1.3151,0.03571,0.02694,-0.0556,0.3106,1.0
10.0,1.3294,0.03659,0.02776,-0.0543,0.2953,1.0
10.4,1.3469,0.0384,0.02969,-0.0504,0.268,1.0
10.6,1.3592,0.03909,0.03034,-0.0489,0.256,1.0
10.8,1.3658,0.03976,0.0312,-0.0468,0.2447,1.0
11.0,1.372,0.04061,0.03211,-0.0447,0.2346,1.0
11.2,1.3782,0.04118,0.03273,-0.0426,0.2246,1.0
11.4,1.3843,0.04207,0.03367,-0.0406,0.2159,1.0
11.6,1.3842,0.043,0.03475,-0.0379,0.2076,1.0
11.8,1.3926,0.04342,0.03502,-0.0362,0.1985,1.0
