alpha,CL,CD,CDp,CM,Top_Xtr_Relative,Bot_Xtr_Relative
0.0,39.659,0.59391,0.07808,*,0.4427,0.0381
0.2,41.8515,0.58882,0.07764,*,0.4288,0.0674
0.4,44.0462,0.59195,0.0791,*,0.4117,0.0797
0.8,48.3886,0.59723,0.08472,*,0.3757,0.1317
1.0,50.5505,0.60026,0.08835,*,0.3578,0.1602
1.2,52.7076,0.60216,0.09279,*,0.3413,0.1959
1.4,54.8815,0.607,0.09737,*,0.3264,0.2212
1.6,57.0764,0.60975,0.10154,*,0.313,0.2483
1.8,59.2708,0.61168,0.10599,*,0.3018,0.2784
2.0,61.5195,0.60725,0.10909,*,0.2984,0.3148
2.4,65.9315,0.6031,0.11835,*,0.2858,0.4015
2.6,68.1436,0.59703,0.12255,*,0.2797,0.4561
2.8,70.3651,0.58764,0.12669,*,0.2783,0.52
3.0,72.5834,0.58076,0.13131,*,0.276,0.5747
3.2,74.7296,0.5672,0.13749,*,0.2725,0.668
3.4,76.8021,0.55156,0.14495,*,0.2671,0.7794
3.6,78.9416,0.54666,0.15126,*,0.26,0.8342
3.8,80.9395,0.53374,0.15803,*,0.2584,0.9116
4.2,84.931,0.53864,0.17175,*,0.2491,0.9759
4.4,87.2758,0.5484,0.17839,*,0.2398,0.9847
4.6,89.6762,0.55874,0.18589,*,0.233,0.9907
4.8,92.0962,0.58742,0.20089,*,0.2068,0.9936
5.0,94.4296,0.61284,0.21537,*,0.1852,0.996
5.2,96.8519,0.63748,0.23013,*,0.1665,0.9985
5.4,99.2697,0.66012,0.24445,*,0.1504,1.0
5.8,103.0071,0.70527,0.27359,*,0.1186,1.0
6.0,104.8217,0.73653,0.2935,*,0.0977,1.0
6.2,106.778,0.75896,0.3097,*,0.0887,1.0
6.4,108.8471,0.77343,0.321,*,0.0801,1.0
6.6,110.9507,0.78552,0.33144,*,0.0782,1.0
6.8,112.9392,0.80724,0.34761,*,0.0716,1.0
7.0,114.953,0.82712,0.36246,*,0.0623,1.0
7.2,117.009,0.84357,0.37622,*,0.0578,1.0
7.4,118.8593,0.877,0.40078,*,0.0483,1.0
7.8,122.3303,0.96285,0.46762,*,0.0178,1.0
8.0,124.309,0.98478,0.48653,*,0.015,1.0
8.2,126.3315,1.0025,0.50299,*,0.0123,1.0
8.4,128.3556,1.01942,0.51941,*,0.0118,1.0
8.6,130.3319,1.03973,0.53875,*,0.011,1.0
8.8,132.2402,1.06504,0.56244,*,0.0096,1.0
9.0,134.1574,1.08899,0.58567,*,0.0081,1.0
9.2,136.1424,1.10663,0.6026,*,0.008,1.0
9.4,138.1132,1.12472,0.6201,*,0.008,1.0
9.6,140.0661,1.14353,0.63844,*,0.0079,1.0
9.8,141.9995,1.16309,0.65756,*,0.0078,1.0
10.0,143.9087,1.18371,0.6789,*,0.0076,1.0
10.2,145.7829,1.20599,0.7005,*,0.0073,1.0
10.4,147.6095,1.23075,0.72434,*,0.0068,1.0
10.6,149.3909,1.25769,0.7502,*,0.0062,1.0
10.8,151.1477,1.28518,0.77674,*,0.0054,1.0
11.0,152.8766,1.31332,0.80516,*,0.0048,1.0
11.2,154.5649,1.3427,0.83591,*,0.0044,1.0
11.4,156.211,1.3732,0.8683,*,0.0042,1.0
11.6,157.7915,1.4026,0.89922,*,0.0041,1.0
11.8,159.3204,1.42839,0.92517,*,0.0041,1.0
12.0,160.7888,1.45508,0.95286,*,0.0041,1.0
12.2,162.2382,1.48337,0.98157,*,0.004,1.0
12.4,163.6512,1.51284,1.0115,*,0.004,1.0
12.6,165.0434,1.54389,1.04316,*,0.004,1.0
12.8,166.4331,1.57609,1.07589,*,0.004,1.0
13.0,167.7514,1.61113,1.11177,*,0.004,1.0
13.2,169.0592,1.6475,1.14895,*,0.0039,1.0
13.4,170.3945,1.68512,1.18735,*,0.0039,1.0
13.6,171.6368,1.72715,1.23048,*,0.0038,1.0
13.8,172.8481,1.77084,1.27523,*,0.0038,1.0
14.0,174.0452,1.81729,1.32318,*,0.0037,1.0
14.2,175.1616,1.86912,1.37623,*,0.0036,1.0
14.4,176.2973,1.92254,1.43081,*,0.0035,1.0
14.6,177.2845,1.98285,1.49245,*,0.0034,1.0
14.8,178.3061,2.04463,1.5555,*,0.0033,1.0
15.0,179.2141,2.11492,1.62727,*,0.0031,1.0
15.2,180.1422,2.18732,1.7011,*,0.003,1.0
15.4,180.9444,2.26822,1.78385,*,0.0029,1.0
15.6,181.7536,2.35015,1.8678,*,0.0027,1.0
15.8,182.4669,2.44189,1.96201,*,0.0026,1.0
16.0,183.1585,2.53882,2.06211,*,0.0025,1.0
16.2,183.8089,2.64187,2.1683,*,0.0024,1.0
16.4,184.3203,2.75764,2.28791,*,0.0022,1.0
16.6,184.8284,2.8744,2.40866,*,0.0022,1.0
16.8,185.1629,3.00989,2.54911,*,0.0021,1.0
17.0,185.6723,3.13503,2.67731,*,0.0021,1.0
17.2,186.2582,3.2559,2.80077,*,0.0021,1.0
17.4,186.6786,3.39548,2.94348,*,0.0021,1.0
17.6,187.068,3.54037,3.09173,*,0.0021,1.0
17.8,187.431,3.68807,3.24273,*,0.002,1.0
18.0,187.6929,3.85266,3.41067,*,0.002,1.0
18.2,187.9581,4.0209,3.58297,*,0.002,1.0
18.4,188.1559,4.19992,3.76575,*,0.002,1.0
18.6,188.2098,4.39985,3.96982,*,0.002,1.0
18.8,188.3284,4.59582,4.16952,*,0.002,1.0
19.0,188.335,4.80513,4.38298,*,0.002,1.0
19.2,188.1415,5.04089,4.62335,*,0.002,1.0
19.4,187.9398,5.28358,4.87064,*,0.002,1.0
19.6,187.7612,5.52644,5.11805,*,0.002,1.0
19.8,187.3716,5.80289,5.39953,*,0.0019,1.0
20.0,186.8807,6.09714,5.69904,*,0.0019,1.0
