  
       XFOIL         Version 6.99
  
 Calculated polar for: x [mm]        y [mm]                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.068 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  39.6590   0.59391   0.07808 *   0.4427   0.0381
   0.200  41.8515   0.58882   0.07764 *   0.4288   0.0674
   0.400  44.0462   0.59195   0.07910 *   0.4117   0.0797
   0.800  48.3886   0.59723   0.08472 *   0.3757   0.1317
   1.000  50.5505   0.60026   0.08835 *   0.3578   0.1602
   1.200  52.7076   0.60216   0.09279 *   0.3413   0.1959
   1.400  54.8815   0.60700   0.09737 *   0.3264   0.2212
   1.600  57.0764   0.60975   0.10154 *   0.3130   0.2483
   1.800  59.2708   0.61168   0.10599 *   0.3018   0.2784
   2.000  61.5195   0.60725   0.10909 *   0.2984   0.3148
   2.400  65.9315   0.60310   0.11835 *   0.2858   0.4015
   2.600  68.1436   0.59703   0.12255 *   0.2797   0.4561
   2.800  70.3651   0.58764   0.12669 *   0.2783   0.5200
   3.000  72.5834   0.58076   0.13131 *   0.2760   0.5747
   3.200  74.7296   0.56720   0.13749 *   0.2725   0.6680
   3.400  76.8021   0.55156   0.14495 *   0.2671   0.7794
   3.600  78.9416   0.54666   0.15126 *   0.2600   0.8342
   3.800  80.9395   0.53374   0.15803 *   0.2584   0.9116
   4.200  84.9310   0.53864   0.17175 *   0.2491   0.9759
   4.400  87.2758   0.54840   0.17839 *   0.2398   0.9847
   4.600  89.6762   0.55874   0.18589 *   0.2330   0.9907
   4.800  92.0962   0.58742   0.20089 *   0.2068   0.9936
   5.000  94.4296   0.61284   0.21537 *   0.1852   0.9960
   5.200  96.8519   0.63748   0.23013 *   0.1665   0.9985
   5.400  99.2697   0.66012   0.24445 *   0.1504   1.0000
   5.800 103.0071   0.70527   0.27359 *   0.1186   1.0000
   6.000 104.8217   0.73653   0.29350 *   0.0977   1.0000
   6.200 106.7780   0.75896   0.30970 *   0.0887   1.0000
   6.400 108.8471   0.77343   0.32100 *   0.0801   1.0000
   6.600 110.9507   0.78552   0.33144 *   0.0782   1.0000
   6.800 112.9392   0.80724   0.34761 *   0.0716   1.0000
   7.000 114.9530   0.82712   0.36246 *   0.0623   1.0000
   7.200 117.0090   0.84357   0.37622 *   0.0578   1.0000
   7.400 118.8593   0.87700   0.40078 *   0.0483   1.0000
   7.800 122.3303   0.96285   0.46762 *   0.0178   1.0000
   8.000 124.3090   0.98478   0.48653 *   0.0150   1.0000
   8.200 126.3315   1.00250   0.50299 *   0.0123   1.0000
   8.400 128.3556   1.01942   0.51941 *   0.0118   1.0000
   8.600 130.3319   1.03973   0.53875 *   0.0110   1.0000
   8.800 132.2402   1.06504   0.56244 *   0.0096   1.0000
   9.000 134.1574   1.08899   0.58567 *   0.0081   1.0000
   9.200 136.1424   1.10663   0.60260 *   0.0080   1.0000
   9.400 138.1132   1.12472   0.62010 *   0.0080   1.0000
   9.600 140.0661   1.14353   0.63844 *   0.0079   1.0000
   9.800 141.9995   1.16309   0.65756 *   0.0078   1.0000
  10.000 143.9087   1.18371   0.67890 *   0.0076   1.0000
  10.200 145.7829   1.20599   0.70050 *   0.0073   1.0000
  10.400 147.6095   1.23075   0.72434 *   0.0068   1.0000
  10.600 149.3909   1.25769   0.75020 *   0.0062   1.0000
  10.800 151.1477   1.28518   0.77674 *   0.0054   1.0000
  11.000 152.8766   1.31332   0.80516 *   0.0048   1.0000
  11.200 154.5649   1.34270   0.83591 *   0.0044   1.0000
  11.400 156.2110   1.37320   0.86830 *   0.0042   1.0000
  11.600 157.7915   1.40260   0.89922 *   0.0041   1.0000
  11.800 159.3204   1.42839   0.92517 *   0.0041   1.0000
  12.000 160.7888   1.45508   0.95286 *   0.0041   1.0000
  12.200 162.2382   1.48337   0.98157 *   0.0040   1.0000
  12.400 163.6512   1.51284   1.01150 *   0.0040   1.0000
  12.600 165.0434   1.54389   1.04316 *   0.0040   1.0000
  12.800 166.4331   1.57609   1.07589 *   0.0040   1.0000
  13.000 167.7514   1.61113   1.11177 *   0.0040   1.0000
  13.200 169.0592   1.64750   1.14895 *   0.0039   1.0000
  13.400 170.3945   1.68512   1.18735 *   0.0039   1.0000
  13.600 171.6368   1.72715   1.23048 *   0.0038   1.0000
  13.800 172.8481   1.77084   1.27523 *   0.0038   1.0000
  14.000 174.0452   1.81729   1.32318 *   0.0037   1.0000
  14.200 175.1616   1.86912   1.37623 *   0.0036   1.0000
  14.400 176.2973   1.92254   1.43081 *   0.0035   1.0000
  14.600 177.2845   1.98285   1.49245 *   0.0034   1.0000
  14.800 178.3061   2.04463   1.55550 *   0.0033   1.0000
  15.000 179.2141   2.11492   1.62727 *   0.0031   1.0000
  15.200 180.1422   2.18732   1.70110 *   0.0030   1.0000
  15.400 180.9444   2.26822   1.78385 *   0.0029   1.0000
  15.600 181.7536   2.35015   1.86780 *   0.0027   1.0000
  15.800 182.4669   2.44189   1.96201 *   0.0026   1.0000
  16.000 183.1585   2.53882   2.06211 *   0.0025   1.0000
  16.200 183.8089   2.64187   2.16830 *   0.0024   1.0000
  16.400 184.3203   2.75764   2.28791 *   0.0022   1.0000
  16.600 184.8284   2.87440   2.40866 *   0.0022   1.0000
  16.800 185.1629   3.00989   2.54911 *   0.0021   1.0000
  17.000 185.6723   3.13503   2.67731 *   0.0021   1.0000
  17.200 186.2582   3.25590   2.80077 *   0.0021   1.0000
  17.400 186.6786   3.39548   2.94348 *   0.0021   1.0000
  17.600 187.0680   3.54037   3.09173 *   0.0021   1.0000
  17.800 187.4310   3.68807   3.24273 *   0.0020   1.0000
  18.000 187.6929   3.85266   3.41067 *   0.0020   1.0000
  18.200 187.9581   4.02090   3.58297 *   0.0020   1.0000
  18.400 188.1559   4.19992   3.76575 *   0.0020   1.0000
  18.600 188.2098   4.39985   3.96982 *   0.0020   1.0000
  18.800 188.3284   4.59582   4.16952 *   0.0020   1.0000
  19.000 188.3350   4.80513   4.38298 *   0.0020   1.0000
  19.200 188.1415   5.04089   4.62335 *   0.0020   1.0000
  19.400 187.9398   5.28358   4.87064 *   0.0020   1.0000
  19.600 187.7612   5.52644   5.11805 *   0.0020   1.0000
  19.800 187.3716   5.80289   5.39953 *   0.0019   1.0000
  20.000 186.8807   6.09714   5.69904 *   0.0019   1.0000
