  
       XFOIL         Version 6.99
  
 Calculated polar for: "x [mm]" "y [mm]"                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.065 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1937   0.02726   0.01883  -0.0693   0.9035   1.0000
   0.200   0.2203   0.02759   0.01900  -0.0704   0.8922   1.0000
   0.400   0.2571   0.02784   0.01910  -0.0731   0.8830   1.0000
   0.600   0.2793   0.02819   0.01935  -0.0734   0.8720   1.0000
   0.800   0.3162   0.02835   0.01939  -0.0759   0.8630   1.0000
   1.000   0.3372   0.02869   0.01966  -0.0759   0.8515   1.0000
   1.200   0.3749   0.02873   0.01961  -0.0783   0.8429   1.0000
   1.600   0.4344   0.02893   0.01968  -0.0805   0.8226   1.0000
   2.000   0.4943   0.02894   0.01963  -0.0824   0.8025   1.0000
   2.200   0.5115   0.02924   0.01990  -0.0815   0.7891   1.0000
   2.400   0.5541   0.02864   0.01928  -0.0837   0.7822   1.0000
   2.600   0.5705   0.02890   0.01954  -0.0825   0.7679   1.0000
   2.800   0.6124   0.02813   0.01875  -0.0842   0.7615   1.0000
   3.200   0.6692   0.02755   0.01818  -0.0844   0.7406   1.0000
   3.400   0.6846   0.02780   0.01843  -0.0829   0.7250   1.0000
   3.600   0.7081   0.02767   0.01831  -0.0823   0.7123   1.0000
   3.800   0.7422   0.02697   0.01763  -0.0828   0.7026   1.0000
   4.000   0.7604   0.02713   0.01780  -0.0816   0.6877   1.0000
   4.200   0.7986   0.02629   0.01692  -0.0825   0.6801   1.0000
   4.400   0.8132   0.02669   0.01735  -0.0811   0.6641   1.0000
   4.600   0.8323   0.02690   0.01757  -0.0801   0.6500   1.0000
   4.800   0.8664   0.02627   0.01689  -0.0806   0.6407   1.0000
   5.000   0.8802   0.02681   0.01751  -0.0792   0.6254   1.0000
