  
       XFOIL         Version 6.99
  
 Calculated polar for: x [mm]        y [mm]                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.047     Re =     0.106 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  39.4728   0.58777   0.08074 *   0.3666   0.0300
   0.100  40.5970   0.59010   0.08104 *   0.3588   0.0300
   0.200  41.7264   0.59072   0.08176 *   0.3545   0.0359
   0.300  42.8293   0.59382   0.08322 *   0.3473   0.0378
   0.400  43.9500   0.59551   0.08366 *   0.3396   0.0397
   0.500  45.0556   0.58953   0.08292 *   0.3363   0.0597
   0.600  46.1589   0.59031   0.08433 *   0.3306   0.0727
   0.700  47.2639   0.59196   0.08556 *   0.3231   0.0785
   0.800  48.4004   0.59315   0.08595 *   0.3186   0.0798
   0.900  49.5226   0.59513   0.08723 *   0.3142   0.0868
   1.000  50.6142   0.59722   0.08912 *   0.3073   0.0960
   1.100  51.7278   0.59717   0.09017 *   0.3000   0.1097
   1.200  52.8608   0.59500   0.09079 *   0.2986   0.1217
   1.300  53.9726   0.59315   0.09178 *   0.2952   0.1396
   1.400  55.0740   0.59273   0.09339 *   0.2909   0.1577
   1.500  56.1934   0.59287   0.09488 *   0.2875   0.1708
   1.600  57.3185   0.59234   0.09623 *   0.2838   0.1831
   1.700  58.4444   0.59068   0.09712 *   0.2801   0.1978
   1.800  59.5823   0.58874   0.09822 *   0.2795   0.2125
   1.900  60.7204   0.58818   0.09959 *   0.2784   0.2223
   2.000  61.8430   0.58684   0.10096 *   0.2763   0.2384
   2.100  62.9588   0.58684   0.10294 *   0.2734   0.2536
   2.200  64.0734   0.58818   0.10511 *   0.2703   0.2660
   2.300  65.1957   0.58781   0.10675 *   0.2680   0.2792
   2.400  66.3227   0.58755   0.10857 *   0.2656   0.2927
   2.500  67.4595   0.58849   0.11013 *   0.2631   0.2982
   2.600  68.5883   0.58697   0.11186 *   0.2609   0.3157
   2.700  69.7233   0.58543   0.11335 *   0.2600   0.3317
   2.800  70.8551   0.58308   0.11500 *   0.2596   0.3514
   2.900  71.9862   0.58101   0.11673 *   0.2591   0.3706
   3.000  73.1080   0.57791   0.11859 *   0.2583   0.3967
   3.100  74.2236   0.57634   0.12082 *   0.2565   0.4195
   3.200  75.3138   0.57548   0.12413 *   0.2528   0.4480
   3.300  76.3221   0.56121   0.12898 *   0.2488   0.5489
   3.400  77.4117   0.56020   0.13196 *   0.2440   0.5772
   3.600  79.6550   0.55864   0.13639 *   0.2396   0.6116
   3.700  80.7793   0.55769   0.13870 *   0.2389   0.6286
   3.800  81.8870   0.55565   0.14125 *   0.2374   0.6539
   3.900  82.9712   0.55582   0.14473 *   0.2338   0.6790
   4.000  83.9952   0.55698   0.15030 *   0.2263   0.7167
   4.100  85.0298   0.55006   0.15473 *   0.2204   0.7740
   4.200  86.0975   0.54452   0.15757 *   0.2191   0.8156
   4.300  87.1436   0.54093   0.16151 *   0.2166   0.8524
   4.400  88.0865   0.55251   0.17002 *   0.1995   0.8726
   4.500  88.9965   0.56985   0.18139 *   0.1788   0.8859
   4.600  89.9138   0.58557   0.19274 *   0.1604   0.9003
   4.700  90.9508   0.58861   0.19658 *   0.1567   0.9146
   4.800  91.9225   0.59926   0.20509 *   0.1479   0.9258
   4.900  92.9386   0.60425   0.20976 *   0.1399   0.9388
   5.100  94.8875   0.62009   0.22327 *   0.1286   0.9600
   5.200  95.8644   0.62676   0.22869 *   0.1200   0.9689
   5.400  97.8565   0.64593   0.24264 *   0.1089   0.9793
   5.500  98.9314   0.65484   0.24864 *   0.0998   0.9833
   5.600 100.0361   0.66328   0.25462 *   0.0962   0.9871
   5.700 101.1632   0.67666   0.26331 *   0.0896   0.9908
   5.800 102.5430   0.68539   0.26951 *   0.0829   0.9941
   5.900 103.9087   0.69114   0.27386 *   0.0798   0.9972
   6.000 105.2368   0.69669   0.27841 *   0.0791   0.9992
   6.100 106.4337   0.70330   0.28361 *   0.0777   1.0000
   6.200 107.4258   0.71291   0.29110 *   0.0745   1.0000
   6.300 108.4104   0.72364   0.29860 *   0.0706   1.0000
   6.400 109.4295   0.73203   0.30483 *   0.0667   1.0000
   6.500 110.4714   0.73884   0.31013 *   0.0622   1.0000
   6.600 111.5292   0.74456   0.31477 *   0.0598   1.0000
   6.700 112.5720   0.75163   0.32056 *   0.0587   1.0000
   6.800 113.5126   0.76718   0.33178 *   0.0546   1.0000
   6.900 114.4904   0.77986   0.34094 *   0.0498   1.0000
   7.000 115.4698   0.79241   0.35037 *   0.0465   1.0000
   7.100 116.4334   0.80642   0.36061 *   0.0399   1.0000
   7.200 117.3481   0.82475   0.37450 *   0.0335   1.0000
   7.300 118.1316   0.85437   0.39668 *   0.0190   1.0000
   7.400 119.1358   0.86513   0.40555 *   0.0176   1.0000
   7.500 120.1470   0.87521   0.41393 *   0.0163   1.0000
   7.600 121.1758   0.88369   0.42186 *   0.0150   1.0000
   7.700 122.2125   0.89145   0.42881 *   0.0136   1.0000
   7.800 123.2521   0.89888   0.43559 *   0.0125   1.0000
   7.900 124.2926   0.90612   0.44233 *   0.0120   1.0000
   8.000 125.3279   0.91371   0.44946 *   0.0118   1.0000
   8.100 126.3530   0.92204   0.45727 *   0.0115   1.0000
   8.200 127.3661   0.93134   0.46597 *   0.0110   1.0000
   8.300 128.3616   0.94198   0.47568 *   0.0104   1.0000
   8.400 129.3543   0.95276   0.48535 *   0.0097   1.0000
   8.500 130.3513   0.96307   0.49467 *   0.0088   1.0000
   8.600 131.3528   0.97285   0.50381 *   0.0081   1.0000
   8.700 132.3779   0.98055   0.51108 *   0.0081   1.0000
   8.800 133.3996   0.98837   0.51846 *   0.0080   1.0000
   8.900 134.4181   0.99632   0.52598 *   0.0080   1.0000
   9.000 135.4342   1.00438   0.53362 *   0.0080   1.0000
   9.100 136.4458   1.01264   0.54145 *   0.0079   1.0000
   9.200 137.4538   1.02104   0.54944 *   0.0079   1.0000
   9.300 138.4575   1.02963   0.55761 *   0.0078   1.0000
   9.400 139.4568   1.03844   0.56598 *   0.0077   1.0000
   9.500 140.4498   1.04761   0.57468 *   0.0076   1.0000
   9.600 141.4361   1.05712   0.58367 *   0.0074   1.0000
   9.700 142.4147   1.06709   0.59306 *   0.0072   1.0000
   9.800 143.3830   1.07769   0.60397 *   0.0070   1.0000
