  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0010                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5619   0.00591   0.00165   0.0007   0.8289   0.0294
  -4.500  -0.5062   0.00576   0.00144   0.0007   0.7828   0.0382
  -4.000  -0.4503   0.00563   0.00126   0.0007   0.7334   0.0494
  -3.500  -0.3941   0.00551   0.00110   0.0007   0.6849   0.0659
  -3.000  -0.3379   0.00538   0.00095   0.0006   0.6372   0.0885
  -2.500  -0.2818   0.00526   0.00082   0.0006   0.5858   0.1209
  -2.000  -0.2255   0.00516   0.00072   0.0005   0.5371   0.1558
  -1.500  -0.1692   0.00506   0.00063   0.0004   0.4890   0.1987
  -1.000  -0.1128   0.00497   0.00057   0.0003   0.4424   0.2450
  -0.500  -0.0564   0.00492   0.00054   0.0001   0.3930   0.2961
   0.000   0.0000   0.00490   0.00053  -0.0000   0.3447   0.3446
   0.500   0.0564   0.00493   0.00054  -0.0001   0.2928   0.3939
   1.000   0.1129   0.00498   0.00057  -0.0003   0.2451   0.4415
   1.500   0.1693   0.00505   0.00063  -0.0004   0.1995   0.4896
   2.000   0.2256   0.00516   0.00072  -0.0005   0.1557   0.5375
   2.500   0.2819   0.00526   0.00082  -0.0006   0.1206   0.5856
   3.000   0.3380   0.00539   0.00095  -0.0006   0.0883   0.6348
   3.500   0.3942   0.00551   0.00110  -0.0007   0.0660   0.6854
   4.000   0.4503   0.00562   0.00126  -0.0007   0.0494   0.7358
   4.500   0.5063   0.00577   0.00145  -0.0007   0.0376   0.7818
   5.000   0.5621   0.00591   0.00165  -0.0007   0.0294   0.8292
   5.500   0.6176   0.00607   0.00187  -0.0006   0.0235   0.8714
   6.000   0.6729   0.00625   0.00211  -0.0004   0.0199   0.9084
   6.500   0.7275   0.00645   0.00236  -0.0001   0.0171   0.9387
   7.000   0.7810   0.00672   0.00265   0.0005   0.0141   0.9625
   7.500   0.8340   0.00699   0.00293   0.0011   0.0128   0.9803
   8.000   0.8892   0.00733   0.00326   0.0012   0.0110   0.9914
   8.500   0.9484   0.00768   0.00359   0.0003   0.0103   0.9962
   9.000   1.0085   0.00813   0.00401  -0.0009   0.0088   0.9986
   9.500   1.0683   0.00853   0.00440  -0.0020   0.0083   1.0000
  10.000   1.1183   0.00894   0.00480  -0.0010   0.0078   1.0000
