  
       XFOIL         Version 6.99
  
 Calculated polar for: "x [mm]" "y [mm]"                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.047     Re =     0.102 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3696   0.01840   0.01141  -0.0907   0.8470   1.0000
   0.200   0.4031   0.01811   0.01103  -0.0922   0.8423   1.0000
   0.400   0.4200   0.01824   0.01108  -0.0911   0.8326   1.0000
   0.600   0.4459   0.01811   0.01087  -0.0914   0.8255   1.0000
   0.800   0.4780   0.01780   0.01048  -0.0925   0.8210   1.0000
   1.200   0.5200   0.01773   0.01029  -0.0912   0.8031   1.0000
   1.400   0.5394   0.01776   0.01027  -0.0904   0.7934   1.0000
   1.600   0.5635   0.01759   0.01005  -0.0901   0.7850   1.0000
   1.800   0.5890   0.01741   0.00980  -0.0900   0.7776   1.0000
   2.000   0.6074   0.01745   0.00983  -0.0890   0.7666   1.0000
   2.200   0.6362   0.01715   0.00945  -0.0894   0.7603   1.0000
   2.400   0.6515   0.01731   0.00961  -0.0879   0.7473   1.0000
   2.600   0.6792   0.01703   0.00925  -0.0881   0.7396   1.0000
   2.800   0.6958   0.01712   0.00935  -0.0868   0.7260   1.0000
   3.000   0.7181   0.01704   0.00922  -0.0862   0.7149   1.0000
   3.200   0.7405   0.01694   0.00906  -0.0856   0.7031   1.0000
   3.400   0.7595   0.01700   0.00913  -0.0846   0.6893   1.0000
   3.600   0.7830   0.01692   0.00897  -0.0842   0.6776   1.0000
   3.800   0.8032   0.01695   0.00896  -0.0834   0.6631   1.0000
   4.000   0.8221   0.01704   0.00903  -0.0825   0.6475   1.0000
   4.200   0.8424   0.01711   0.00903  -0.0817   0.6321   1.0000
   4.400   0.8639   0.01716   0.00898  -0.0810   0.6172   1.0000
   4.600   0.8844   0.01727   0.00906  -0.0803   0.6015   1.0000
   4.800   0.9028   0.01750   0.00926  -0.0794   0.5851   1.0000
   5.000   0.9219   0.01775   0.00946  -0.0786   0.5697   1.0000
   5.200   0.9423   0.01798   0.00960  -0.0780   0.5558   1.0000
   5.400   0.9624   0.01823   0.00976  -0.0774   0.5420   1.0000
   5.600   0.9803   0.01857   0.01011  -0.0766   0.5280   1.0000
   5.800   1.0002   0.01888   0.01035  -0.0760   0.5158   1.0000
   6.000   1.0193   0.01916   0.01057  -0.0753   0.5028   1.0000
   6.200   1.0365   0.01947   0.01089  -0.0743   0.4892   1.0000
   6.400   1.0555   0.01975   0.01109  -0.0735   0.4766   1.0000
   6.600   1.0732   0.02002   0.01140  -0.0726   0.4636   1.0000
   6.800   1.0905   0.02038   0.01178  -0.0717   0.4517   1.0000
   7.000   1.1103   0.02072   0.01206  -0.0712   0.4417   1.0000
   7.200   1.1271   0.02114   0.01256  -0.0703   0.4311   1.0000
   7.400   1.1469   0.02150   0.01284  -0.0698   0.4211   1.0000
   7.600   1.1625   0.02191   0.01337  -0.0687   0.4100   1.0000
   7.800   1.1823   0.02230   0.01365  -0.0682   0.3997   1.0000
   8.000   1.1968   0.02271   0.01426  -0.0670   0.3882   1.0000
   8.200   1.2152   0.02316   0.01466  -0.0663   0.3779   1.0000
   8.400   1.2301   0.02359   0.01519  -0.0651   0.3662   1.0000
   8.600   1.2460   0.02409   0.01570  -0.0641   0.3546   1.0000
   8.800   1.2619   0.02454   0.01611  -0.0630   0.3421   1.0000
   9.000   1.2737   0.02503   0.01670  -0.0614   0.3281   1.0000
   9.200   1.2857   0.02551   0.01719  -0.0597   0.3134   1.0000
   9.400   1.2972   0.02598   0.01758  -0.0581   0.2983   1.0000
   9.600   1.3047   0.02641   0.01807  -0.0558   0.2825   1.0000
   9.800   1.3108   0.02690   0.01865  -0.0534   0.2664   1.0000
  10.000   1.3169   0.02746   0.01923  -0.0510   0.2510   1.0000
  10.200   1.3229   0.02807   0.01978  -0.0487   0.2372   1.0000
  10.400   1.3262   0.02868   0.02043  -0.0460   0.2238   1.0000
  10.600   1.3306   0.02944   0.02122  -0.0436   0.2112   1.0000
  10.800   1.3343   0.03027   0.02195  -0.0413   0.2009   1.0000
  11.000   1.3403   0.03117   0.02307  -0.0393   0.1904   1.0000
  11.200   1.3451   0.03215   0.02398  -0.0374   0.1822   1.0000
  11.400   1.3513   0.03319   0.02510  -0.0357   0.1740   1.0000
  11.600   1.3549   0.03424   0.02621  -0.0339   0.1659   1.0000
  11.800   1.3584   0.03546   0.02737  -0.0322   0.1583   1.0000
  12.000   1.3625   0.03663   0.02871  -0.0307   0.1511   1.0000
  12.200   1.3643   0.03794   0.03006  -0.0291   0.1443   1.0000
  12.400   1.3653   0.03943   0.03158  -0.0276   0.1369   1.0000
  12.600   1.3645   0.04098   0.03330  -0.0263   0.1287   1.0000
  12.800   1.3606   0.04290   0.03514  -0.0249   0.1208   1.0000
  13.000   1.3577   0.04488   0.03735  -0.0239   0.1119   1.0000
  13.200   1.3501   0.04733   0.03980  -0.0230   0.1032   1.0000
